season,min_minutes,model_type,model_name,RMSE,R2
2007,10,dummy,10_dummy,13.27578,0.08728679
2007,15,dummy,15_dummy,13.26736,0.08844340
2007,20,dummy,20_dummy,13.34361,0.07793547
2007,25,dummy,25_dummy,13.35760,0.07600147
2007,30,dummy,30_dummy,13.32580,0.08039527
2008,0,dummy,0_dummy,13.48312,0.15615148
2008,5,dummy,5_dummy,13.32492,0.17583748
2008,10,dummy,10_dummy,13.26038,0.18380139
2008,15,dummy,15_dummy,13.34429,0.17343951
2008,20,dummy,20_dummy,13.47497,0.15717131
2008,25,dummy,25_dummy,13.38211,0.16874845
2008,30,dummy,30_dummy,13.36901,0.17037439
2009,0,dummy,0_dummy,12.37786,0.10754347
2009,5,dummy,5_dummy,12.17858,0.13604848
2009,10,dummy,10_dummy,12.13245,0.14258233
2009,15,dummy,15_dummy,12.26510,0.12372977
2009,20,dummy,20_dummy,12.22098,0.13002311
2009,25,dummy,25_dummy,12.35655,0.11061409
2009,30,dummy,30_dummy,12.36735,0.10905850
2005,0,no_dummy,0_no_dummy,12.40002,0.07342157
2005,5,no_dummy,5_no_dummy,12.44389,0.06685392
2005,10,no_dummy,10_no_dummy,12.51760,0.05576727
2005,15,no_dummy,15_no_dummy,12.53481,0.05316863
2005,20,no_dummy,20_no_dummy,12.48708,0.06036592
2005,25,no_dummy,25_no_dummy,12.52666,0.05439932
2005,30,no_dummy,30_no_dummy,12.56768,0.04819579
2006,0,no_dummy,0_no_dummy,11.42735,0.09527476
2006,5,no_dummy,5_no_dummy,11.48395,0.08629017
2006,10,no_dummy,10_no_dummy,11.38272,0.10232861
2006,15,no_dummy,15_no_dummy,11.45958,0.09016437
2006,20,no_dummy,20_no_dummy,11.43811,0.09357109
2006,25,no_dummy,25_no_dummy,11.45299,0.09121079
2006,30,no_dummy,30_no_dummy,11.38234,0.10238833
2007,0,no_dummy,0_no_dummy,13.48925,0.05769848
2007,5,no_dummy,5_no_dummy,13.36980,0.07431252
2007,10,no_dummy,10_no_dummy,13.27660,0.08717404
2007,15,no_dummy,15_no_dummy,13.29200,0.08505531
2007,20,no_dummy,20_no_dummy,13.33557,0.07904658
2007,25,no_dummy,25_no_dummy,13.34021,0.07840524
2007,30,no_dummy,30_no_dummy,13.42045,0.06728620
2008,0,no_dummy,0_no_dummy,13.42025,0.16400283
2008,5,no_dummy,5_no_dummy,13.27832,0.18159176
2008,10,no_dummy,10_no_dummy,13.30949,0.17774480
2008,15,no_dummy,15_no_dummy,13.34302,0.17359678
2008,20,no_dummy,20_no_dummy,13.52104,0.15139862
2008,25,no_dummy,25_no_dummy,13.45674,0.15945107
2008,30,no_dummy,30_no_dummy,13.44229,0.16125456
2009,0,no_dummy,0_no_dummy,12.36637,0.10920072
2009,5,no_dummy,5_no_dummy,12.18480,0.13516609
2009,10,no_dummy,10_no_dummy,12.17123,0.13709221
2009,15,no_dummy,15_no_dummy,12.28926,0.12027474
2009,20,no_dummy,20_no_dummy,12.23005,0.12873111
2009,25,no_dummy,25_no_dummy,12.37959,0.10729477
2009,30,no_dummy,30_no_dummy,12.42796,0.10030451
