"season","min_minutes","dummy_penalty_ratio","n_players_inner","n_players_outer","inner_dummy_lambda","inner_no_dummy_lambda","inner_dummy_RMSE","inner_dummy_R2","inner_no_dummy_RMSE","inner_no_dummy_R2","neutral_inner_RMSE","outer_dummy_lambda","outer_no_dummy_lambda","outer_dummy_RMSE","outer_dummy_R2","outer_no_dummy_RMSE","outer_no_dummy_R2"
2016,25,2,150,152,6.13538546628017,5.77448043885192,11.9005686296861,0.193180610156548,11.9609369429244,0.184974302698023,11.9307527863052,3.57964152896761,3.07200603903031,12.4641552223388,0.16517975421604,12.4837016772702,0.162559348597483
2016,30,0,61,59,2.84443576670005,3.30437001128367,12.1185775645646,0.163349270360567,12.1987519599937,0.152242380275711,12.1586647622791,0.82149740306406,0.83515194993124,12.6879488184425,0.134932270544911,12.7421977165459,0.127519047635891
2016,30,0.1,61,59,2.71879096986329,3.30437001128367,12.107270515769,0.164909789703468,12.1987519599937,0.152242380275711,12.1530112378813,0.914706657265284,0.83515194993124,12.6824413194074,0.135683113051113,12.7421977165459,0.127519047635891
2016,30,0.25,61,59,3.09929053783959,3.30437001128367,12.1092948090675,0.164630518032076,12.1987519599937,0.152242380275711,12.1540233845306,1.04354249986833,0.83515194993124,12.6790957917429,0.136139052817485,12.7421977165459,0.127519047635891
2016,30,0.5,61,59,3.0890916090093,3.30437001128367,12.110829938093,0.164418700375347,12.1987519599937,0.152242380275711,12.1547909490434,1.04138972044948,0.83515194993124,12.6818696569679,0.135761029652798,12.7421977165459,0.127519047635891
2016,30,1,61,59,3.6265420081161,3.30437001128367,12.1227169913337,0.162777611534744,12.1987519599937,0.152242380275711,12.1607344756637,1.10402172783575,0.83515194993124,12.68666733454,0.13510700554785,12.7421977165459,0.127519047635891
2016,30,2,61,59,4.1373225726395,3.30437001128367,12.1358261964076,0.160965929514965,12.1987519599937,0.152242380275711,12.1672890782006,1.15173239054131,0.83515194993124,12.6948843806606,0.133986275104555,12.7421977165459,0.127519047635891
2017,0,0,442,465,6.70982534885395,6.70982534885395,12.5117336522938,0.139361203129753,12.5117336522938,0.139361203129753,12.5117336522938,4.69810596890153,4.69810596890153,12.5849927354191,0.109300140487531,12.5849927354191,0.109300140487531
2017,0,0.1,442,465,6.70982534885395,6.70982534885395,12.5117336522938,0.139361203129753,12.5117336522938,0.139361203129753,12.5117336522938,4.69810596890153,4.69810596890153,12.5849927354191,0.109300140487531,12.5849927354191,0.109300140487531
2017,0,0.25,442,465,6.70982534885395,6.70982534885395,12.5117336522938,0.139361203129753,12.5117336522938,0.139361203129753,12.5117336522938,4.69810596890153,4.69810596890153,12.5849927354191,0.109300140487531,12.5849927354191,0.109300140487531
2017,0,0.5,442,465,6.70982534885395,6.70982534885395,12.5117336522938,0.139361203129753,12.5117336522938,0.139361203129753,12.5117336522938,4.69810596890153,4.69810596890153,12.5849927354191,0.109300140487531,12.5849927354191,0.109300140487531
2017,0,1,442,465,6.70982534885395,6.70982534885395,12.5117336522938,0.139361203129753,12.5117336522938,0.139361203129753,12.5117336522938,4.69810596890153,4.69810596890153,12.5849927354191,0.109300140487531,12.5849927354191,0.109300140487531
2017,0,2,442,465,6.70982534885395,6.70982534885395,12.5117336522938,0.139361203129753,12.5117336522938,0.139361203129753,12.5117336522938,4.69810596890153,4.69810596890153,12.5849927354191,0.109300140487531,12.5849927354191,0.109300140487531
2017,5,0,418,439,6.520886337358,6.70982534885395,12.5344765079622,0.136229555035054,12.5103355592395,0.139553532335325,12.5224060336009,4.58257034918301,4.69810596890153,12.4737644701685,0.124974872971296,12.5831097030772,0.109566662876653
2017,5,0.1,418,439,6.56873089058366,6.70982534885395,12.5198051177399,0.138250428687896,12.5103355592395,0.139553532335325,12.5150703384897,4.60393457976987,4.69810596890153,12.58649196214,0.109087913019894,12.5831097030772,0.109566662876653
2017,5,0.25,418,439,6.59224663362871,6.70982534885395,12.5129662515926,0.139191622308935,12.5103355592395,0.139553532335325,12.5116509054161,4.61962981129181,4.69810596890153,12.5887678178838,0.108765699219906,12.5831097030772,0.109566662876653
2017,5,0.5,418,439,6.63143953870379,6.70982534885395,12.5109229702837,0.139472727528487,12.5103355592395,0.139553532335325,12.5106292647616,4.64578853049505,4.69810596890153,12.5871720657997,0.108991630601778,12.5831097030772,0.109566662876653
