"season","min_minutes","side","excluded_players","n_stints","possession_exposure"
2011,30,"Away",3,6759,28178.5
2011,30,"Away",4,7404,30512.5
2011,30,"Away",5,2484,9408.5
2012,0,"Home",0,12690,49020
2012,0,"Home",1,0,0
2012,0,"Home",2,0,0
2012,0,"Home",3,0,0
2012,0,"Home",4,0,0
2012,0,"Home",5,0,0
2012,0,"Away",0,12690,49020
2012,0,"Away",1,0,0
2012,0,"Away",2,0,0
2012,0,"Away",3,0,0
2012,0,"Away",4,0,0
2012,0,"Away",5,0,0
2012,5,"Home",0,12625,48741
2012,5,"Home",1,64,272.5
2012,5,"Home",2,1,6.5
2012,5,"Home",3,0,0
2012,5,"Home",4,0,0
2012,5,"Home",5,0,0
2012,5,"Away",0,12626,48788
2012,5,"Away",1,63,229
2012,5,"Away",2,1,3
2012,5,"Away",3,0,0
2012,5,"Away",4,0,0
2012,5,"Away",5,0,0
2012,10,"Home",0,12124,46873.5
2012,10,"Home",1,490,1783
2012,10,"Home",2,57,246
2012,10,"Home",3,15,98
2012,10,"Home",4,4,19.5
2012,10,"Home",5,0,0
2012,10,"Away",0,12130,46931
2012,10,"Away",1,515,1911.5
2012,10,"Away",2,36,135
2012,10,"Away",3,6,36.5
2012,10,"Away",4,3,6
2012,10,"Away",5,0,0
2012,15,"Home",0,9066,35636
2012,15,"Home",1,2926,10924
2012,15,"Home",2,600,2032.5
2012,15,"Home",3,84,333
2012,15,"Home",4,12,83.5
2012,15,"Home",5,2,11
2012,15,"Away",0,9069,36161.5
2012,15,"Away",1,2997,10542.5
2012,15,"Away",2,549,2064.5
2012,15,"Away",3,59,189
2012,15,"Away",4,13,56.5
2012,15,"Away",5,3,6
2012,20,"Home",0,4103,16428.5
2012,20,"Home",1,5177,20423.5
2012,20,"Home",2,2395,8414
2012,20,"Home",3,825,2983.5
2012,20,"Home",4,161,627
2012,20,"Home",5,29,143.5
2012,20,"Away",0,3997,16644.5
2012,20,"Away",1,5213,19995
2012,20,"Away",2,2482,8905.5
2012,20,"Away",3,787,2747
2012,20,"Away",4,174,626
2012,20,"Away",5,37,102
2012,25,"Home",0,672,2521
2012,25,"Home",1,2921,12263.5
2012,25,"Home",2,4298,16738.5
2012,25,"Home",3,3214,11599
2012,25,"Home",4,1332,4904
2012,25,"Home",5,253,994
2012,25,"Away",0,611,2178.5
2012,25,"Away",1,2626,11242
2012,25,"Away",2,4304,17060.5
2012,25,"Away",3,3355,12345.5
2012,25,"Away",4,1492,5113.5
2012,25,"Away",5,302,1080
2012,30,"Home",0,8,38
2012,30,"Home",1,317,1210
2012,30,"Home",2,1460,5726
2012,30,"Home",3,3807,15091.5
2012,30,"Home",4,5249,20308.5
2012,30,"Home",5,1849,6646
2012,30,"Away",0,44,150.5
2012,30,"Away",1,315,1103.5
2012,30,"Away",2,1432,5633.5
2012,30,"Away",3,3494,14154
2012,30,"Away",4,5248,20410.5
2012,30,"Away",5,2157,7568
2013,0,"Home",0,16892,73062.5
2013,0,"Home",1,0,0
2013,0,"Home",2,0,0
2013,0,"Home",3,0,0
2013,0,"Home",4,0,0
2013,0,"Home",5,0,0
2013,0,"Away",0,16892,73062.5
2013,0,"Away",1,0,0
2013,0,"Away",2,0,0
2013,0,"Away",3,0,0
2013,0,"Away",4,0,0
2013,0,"Away",5,0,0
2013,5,"Home",0,16788,72719
2013,5,"Home",1,97,327.5
2013,5,"Home",2,7,16
2013,5,"Home",3,0,0
2013,5,"Home",4,0,0
2013,5,"Home",5,0,0
2013,5,"Away",0,16780,72671.5
2013,5,"Away",1,107,362.5
2013,5,"Away",2,5,28.5
2013,5,"Away",3,0,0
2013,5,"Away",4,0,0
2013,5,"Away",5,0,0
2013,10,"Home",0,16541,71635.5
2013,10,"Home",1,310,1281.5
2013,10,"Home",2,36,126.5
2013,10,"Home",3,5,19
2013,10,"Home",4,0,0
