"season","min_minutes","model","dummy_penalty_ratio","term","coefficient","term_type","player_id"
2007,10,"dummy",2.2,"player__2983",0.754430125637845,"player","2983"
2007,10,"dummy",2.2,"player__2984",-0.412889317629877,"player","2984"
2007,10,"dummy",2.2,"player__2986",0.156053881503084,"player","2986"
2007,10,"dummy",2.2,"player__2987",0.444528523602674,"player","2987"
2007,10,"dummy",2.2,"player__2989",-0.218647591148767,"player","2989"
2007,10,"dummy",2.2,"player__2990",-0.242477345192698,"player","2990"
2007,10,"dummy",2.2,"player__2991",0.332044245137323,"player","2991"
2007,10,"dummy",2.2,"player__2994",0.710188537076444,"player","2994"
2007,10,"dummy",2.2,"player__2995",-0.381904052625099,"player","2995"
2007,10,"dummy",2.2,"player__2997",-0.881199682752074,"player","2997"
2007,10,"dummy",2.2,"player__2998",0.119669267685234,"player","2998"
2007,10,"dummy",2.2,"player__3",-1.40482193928503,"player","3"
2007,10,"dummy",2.2,"player__3000",0.471500138192982,"player","3000"
2007,10,"dummy",2.2,"player__3002",-0.332394986196078,"player","3002"
2007,10,"dummy",2.2,"player__3003",-0.46449614510857,"player","3003"
2007,10,"dummy",2.2,"player__3005",0.0495863384201494,"player","3005"
2007,10,"dummy",2.2,"player__3006",0.149078030513364,"player","3006"
2007,10,"dummy",2.2,"player__3008",0.0840339488444638,"player","3008"
2007,10,"dummy",2.2,"player__3009",-0.493643782843008,"player","3009"
2007,10,"dummy",2.2,"player__3010",-1.13686971423304,"player","3010"
2007,10,"dummy",2.2,"player__3011",-0.158626278200133,"player","3011"
2007,10,"dummy",2.2,"player__3012",1.652850528363,"player","3012"
2007,10,"dummy",2.2,"player__3015",0.428732912547483,"player","3015"
2007,10,"dummy",2.2,"player__3016",-0.870141471359951,"player","3016"
2007,10,"dummy",2.2,"player__3017",-0.871714003714419,"player","3017"
2007,10,"dummy",2.2,"player__3018",0.189690648520961,"player","3018"
2007,10,"dummy",2.2,"player__3019",0.936563332302471,"player","3019"
2007,10,"dummy",2.2,"player__3023",0.855148985577819,"player","3023"
2007,10,"dummy",2.2,"player__3024",0.760073764182163,"player","3024"
2007,10,"dummy",2.2,"player__3025",-0.810702144519903,"player","3025"
2007,10,"dummy",2.2,"player__3026",1.09412851386999,"player","3026"
2007,10,"dummy",2.2,"player__3027",-2.39069518625027,"player","3027"
2007,10,"dummy",2.2,"player__3028",0.449398940439701,"player","3028"
2007,10,"dummy",2.2,"player__3029",-0.645046837388838,"player","3029"
2007,10,"dummy",2.2,"player__3030",-0.795759889885593,"player","3030"
2007,10,"dummy",2.2,"player__3031",0.200658813929877,"player","3031"
2007,10,"dummy",2.2,"player__3032",0.218364352802118,"player","3032"
2007,10,"dummy",2.2,"player__3033",-0.00510050118628117,"player","3033"
2007,10,"dummy",2.2,"player__3038",-0.784133866922297,"player","3038"
2007,10,"dummy",2.2,"player__3039",-0.620929484022407,"player","3039"
2007,10,"dummy",2.2,"player__3040",-1.81373181170341,"player","3040"
2007,10,"dummy",2.2,"player__3041",0.0711112517304434,"player","3041"
2007,10,"dummy",2.2,"player__3045",0.11610101883773,"player","3045"
2007,10,"dummy",2.2,"player__3046",-0.243797635633789,"player","3046"
2007,10,"dummy",2.2,"player__3047",0.277585046043139,"player","3047"
2007,10,"dummy",2.2,"player__3048",-0.196525883249557,"player","3048"
2007,10,"dummy",2.2,"player__3049",-0.492286074145017,"player","3049"
2007,10,"dummy",2.2,"player__3052",-0.388071648686202,"player","3052"
2007,10,"dummy",2.2,"player__3054",-0.284210650434435,"player","3054"
2007,10,"dummy",2.2,"player__3058",-0.418726685317723,"player","3058"
2007,10,"dummy",2.2,"player__306",1.56666347888097,"player","306"
2007,10,"dummy",2.2,"player__3066",-0.671386064470708,"player","3066"
2007,10,"dummy",2.2,"player__307",-0.169651620903168,"player","307"
2007,10,"dummy",2.2,"player__308",-0.725624581160063,"player","308"
2007,10,"dummy",2.2,"player__3160",0.236714882075426,"player","3160"
2007,10,"dummy",2.2,"player__322",-0.720236413306649,"player","322"
2007,10,"dummy",2.2,"player__336",-0.347255160396474,"player","336"
2007,10,"dummy",2.2,"player__347",0.780258595602098,"player","347"
2007,10,"dummy",2.2,"player__348",-0.733623667252876,"player","348"
2007,10,"dummy",2.2,"player__351",-0.881441584696042,"player","351"
2007,10,"dummy",2.2,"player__353",-0.144585084845134,"player","353"
2007,10,"dummy",2.2,"player__356",1.46883108426025,"player","356"
2007,10,"dummy",2.2,"player__359",-0.853983965337155,"player","359"
2007,10,"dummy",2.2,"player__362",0.931233764986166,"player","362"
2007,10,"dummy",2.2,"player__366",0.236238376460354,"player","366"
2007,10,"dummy",2.2,"player__376",-0.161239166007308,"player","376"
